ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P105_N,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00147,14,1,1,1,138.076923076923,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,2,75,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,2,5,2,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,2,5,1,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,2,5,5,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,2,5,4,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,2,5,3,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,5,5,1,500
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,5,3,1,500
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,5,4,1,500
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,5,1,1,500
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,5,2,1,500
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO TORO URCO,1470,3,1,4,1,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO TORO URCO,1470,3,1,4,2,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO TORO URCO,1470,3,1,4,3,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,2,PASTO TORO URCO,1470,3,1,4,4,140,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00105,13,1,1,1,128.214285714286,1,1,0,1,PASTO ELEFANTE,1424,3,1,3,3,2,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00105,13,1,1,1,128.214285714286,1,1,0,1,PASTO ELEFANTE,1424,3,1,3,1,3,000
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00105,13,1,1,1,128.214285714286,1,1,0,1,PASTO ELEFANTE,1424,3,1,3,2,3,000
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00035,3,1,1,1,128.214285714286,1,1,1,2,PASTO CASTILLA,1413,3,2,3,3,3000,000
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00035,3,1,1,1,128.214285714286,1,1,1,2,PASTO CASTILLA,1413,3,2,3,2,4500,000
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00035,3,1,1,1,128.214285714286,1,1,1,2,PASTO CASTILLA,1413,3,2,3,1,3000,000
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00138,11,1,1,1,128.214285714286,1,1,1,4,PASTO CASTILLA,1413,3,2,3,2,2000,000
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00138,11,1,1,1,128.214285714286,1,1,1,4,PASTO CASTILLA,1413,3,2,3,1,3000,000
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00138,11,1,1,1,128.214285714286,1,1,1,4,PASTO CASTILLA,1413,3,2,3,3,3000,000
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00018,2,1,2,4,74.6071428571429,1,1,1,1,PASTO ELEFANTE,1424,3,2,3,3,10,000
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00018,2,1,2,4,74.6071428571429,1,1,1,1,PASTO ELEFANTE,1424,3,2,3,2,10,000
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00018,2,1,2,4,74.6071428571429,1,1,1,1,PASTO ELEFANTE,1424,3,2,3,1,10,000
